company_id,name,search_rating,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
463874,볼팅마스타(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,볼팅마스타
116865,(주)아텍스,1.9,1.9,1.8,2.6,1.8,2.2,1.7,21%,35%,14%,아텍스
369668,제이티애드넷(주),2.0,2.0,2.3,2.3,2.0,3.0,2.0,33%,33%,0%,제이티애드넷
28333,서울텔엔지니어링(주),3.0,3.0,3.0,4.0,3.0,3.0,3.0,100%,100%,0%,서울텔엔지니어링
283609,화석엔지니어링(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,화석엔지니어링
223490,열린종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,열린종합건설
107489,원광제약(주),1.7,1.7,1.3,3.5,2.5,1.3,1.3,7%,7%,0%,원광제약
347894,(주)온딜,4.0,4.0,3.0,5.0,2.0,3.0,4.0,0%,100%,0%,온딜
149320,동준건설(주),3.0,3.0,3.0,3.0,4.0,2.0,3.0,100%,100%,0%,동준건설
396522,(주)프로레드코리아,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0%,0%,0%,프로레드코리아
347565,(주)트라이코지,2.1,2.1,2.3,2.2,1.9,1.7,2.0,20%,27%,7%,트라이코지
195701,(주)대도엔지니어링,2.0,2.0,2.0,3.3,2.3,2.0,2.0,33%,33%,0%,대도엔지니어링
101753,시에이치건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,시에이치건설
106813,홍일건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,홍일건설
256110,두리피앤에스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,두리피앤에스
166211,나라전력(유),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,나라전력
25997,솔브레인에스엘디(주),2.6,2.6,2.6,2.3,2.5,2.0,2.0,21%,36%,13%,솔브레인에스엘디
86711,(사)국제경영원,2.6,2.6,2.7,2.6,2.5,2.7,2.5,28%,43%,12%,제경
35356,린텍스페셜러티필름코리아(주),2.8,2.8,3.3,2.9,2.3,2.4,2.4,32%,41%,5%,린텍
419043,(주)샤인소프트,4.3,4.3,4.5,3.8,4.0,4.5,4.5,100%,100%,50%,샤인소프트
159035,성신우영(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성신우영
231668,덕수기업(주),3.3,3.3,2.3,2.7,3.7,2.0,2.3,33%,33%,33%,덕수기업
426418,(주)에스디산업,4.0,4.0,5.0,3.0,5.0,2.0,2.0,100%,100%,0%,에스디산업
324487,(주)포티투마루,2.9,2.9,2.5,3.6,3.0,2.4,2.4,35%,53%,25%,포티투마루
430777,(주)경동엠텍,1.0,1.0,3.7,1.0,1.0,2.3,1.0,0%,67%,0%,경동엠텍
166821,대송종합건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대송종합건설
232933,대덕바이오(주),3.8,3.8,2.4,4.1,3.6,3.6,3.5,63%,75%,25%,대덕바이오
304461,본실업(주),1.0,1.0,1.0,5.0,1.0,1.0,1.0,0%,0%,0%,본실업
305516,신화티.엔.에스.(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신화티.엔.에스.
156036,시네코아(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,시네코아
407971,동양우레탄,3.0,3.0,3.0,5.0,3.0,3.0,4.0,0%,0%,0%,동양우레탄
213280,넷퍼씨(주),4.4,4.4,4.0,4.8,3.3,3.1,3.9,60%,75%,20%,넷퍼씨
285408,보영냉열(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,보영냉열
304868,(주)헥코리아,2.8,2.8,2.5,2.6,2.3,2.5,2.6,38%,50%,38%,헥코리아
121082,두실조경(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,두실조경
312020,(사)안전보건진흥원,1.9,1.9,1.6,2.7,2.0,2.2,1.5,11%,20%,14%,건진
306369,칠성건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,칠성건설
284350,(주)아이티에스컨버젼스,2.2,2.2,2.1,2.1,2.1,2.4,2.0,22%,28%,20%,아이티에스컨버젼스
85929,(주)거림트렌드,2.4,2.4,2.2,2.0,2.2,2.5,1.8,19%,45%,10%,거림트렌드
407222,(주)플로어식스,2.0,2.0,1.3,1.3,2.0,2.3,2.0,33%,0%,0%,플로어식스
354729,(주)원인터시스템,3.5,3.5,3.5,4.0,3.5,3.5,4.0,50%,100%,100%,인터시스
379695,(주)텍스코코리아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,텍스코코리아
303935,선경산업(주),1.5,1.5,1.2,1.8,2.8,2.3,1.3,0%,0%,0%,선경산업
136873,진성기업(주),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0%,100%,0%,진성기업
369502,(주)일신기술단,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0%,0%,0%,일신기술단
81985,(주)대우건설,3.5,3.5,3.4,3.3,3.6,3.0,2.6,62%,45%,20%,우건
248722,브이에스테크놀로지(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,브이에스테크놀로지
152144,한국케이씨엘(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한국케이씨엘
216451,우성하이텍(주),1.4,1.4,1.4,1.6,1.2,1.4,1.0,0%,0%,0%,우성하이텍
90512,(주)케이제이씨디스플레이코퍼레이션,1.9,1.9,2.1,1.6,1.8,2.2,1.6,17%,23%,16%,케이제이
75580,보산하이테크,2.0,2.0,1.6,3.0,2.0,1.4,2.0,20%,20%,0%,보산하이테크
361932,(주)코비플라텍,2.2,2.2,2.1,2.8,2.2,2.3,2.0,29%,29%,19%,코비플라텍
341423,(주)명진전력,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0%,0%,0%,명진전력
205210,삼정개발(주),2.0,2.0,2.0,3.0,2.0,2.0,2.0,0%,0%,0%,삼정개발
115293,배명건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,배명건설
199882,흥진건설(주),2.0,2.0,1.4,2.0,2.0,2.0,1.6,0%,0%,0%,흥진건설
